Dimensoes;Fitness
3;1.94095305949125e-68
3;5.43982057669966e-52
3;4.71386063468384e-48
3;1.06942196858243e-53
3;5.57184234798842e-54
3;4.09048189468335e-52
3;3.23520554449175e-81
3;2.43790091887018e-40
3;5.36757249092268e-49
3;1.49181027607334e-48
3;2.4030360980416e-49
3;7.21351627406453e-53
3;2.17976470290181e-72
3;1.20302825657851e-53
3;8.80862434731713e-66
3;1.54616711108308e-50
3;1.95703148014471e-47
3;8.23831565711697e-50
3;4.19791492780502e-48
3;1.0154394271306e-54
3;1.87085928726301e-49
3;1.58785656055155e-48
3;2.77330691978555e-33
3;1.80257657799165e-47
3;3.93846841079815e-51
3;1.83351916629696e-50
3;1.77291880783881e-52
3;1.09153125534813e-47
3;5.98895607192143e-156
3;2.04555952441452e-56
10;3.84097914162075e-83
10;3.05452037137802e-27
10;1.69911477209402e-39
10;4.34696124725223e-16
10;1.93228860359557e-15
10;9.84703231703492e-11
10;1.1533288900599e-44
10;1.28032850453246e-20
10;4.3738295007022e-40
10;2.17589071361915e-14
10;7.62659399327101e-12
10;3.38119857406971e-27
10;1.76932027531164e-43
10;1.53486709513154e-24
10;1.82500724461916e-49
10;4.15567072701826e-22
10;1.96168118707275e-24
10;4.60278424568027e-45
10;3.63792793555292e-23
10;1.23363502668902e-09
10;3.15086628984852e-05
10;1.04881322341064e-15
10;7.23496822639424e-45
10;8.85445175234994e-47
10;1.43652582129234e-41
10;1.04197105051186e-29
10;1.49158872044521e-12
10;9.83202167285041e-45
10;2.55304506319674e-44
10;1.39819104158028e-52
20;7.79875477127224e-06
20;0.223049874908983
20;0.258385120152788
20;0.132009190733204
20;1.04896373322949e-07
20;0.0361392978435864
20;1.81893552542336e-05
20;4.323918056786e-05
20;0.13587898818249
20;0.0538865512114468
20;6.86470059832621
20;0.568265836513472
20;0.00418216578611722
20;2.66274237099151e-06
20;6.29577616469623e-07
20;3.67900298139092
20;6.19272004421579e-13
20;0.0330297343559542
20;0.00651872347821957
20;9.24035286154165e-05
20;0.0397576966729443
20;0.342265701691796
20;0.000145036720583874
20;0.00121239541866235
20;0.0288941057921222
20;0.00460781834351582
20;7.42668995467557e-09
20;0.0203169738292193
20;0.544765027199734
20;7.12465963639609e-07
30;0.0487505836817454
30;0.350038578965441
30;0.161677334137485
30;2.79458596213812
30;0.15248966836294
30;0.00835070046423815
30;8.99810739533217
30;0.133331481631817
30;0.401534807514797
30;0.51077333806599
30;0.0408348066642349
30;0.0272399727692463
30;18.8869291687103
30;0.0565901908795251
30;6.40837589861639
30;1.2891138449203
30;0.445603101619042
30;1.74761835089522
30;0.47534689055682
30;3.86573057990117
30;3.40508411994823
30;1.88300603434735
30;0.453099233884996
30;0.739175357390405
30;2.32127074778868
30;0.797812794776426
30;2.35471137319759
30;0.643038468824315
30;44.6802237161985
30;2.19827558095991
